id,name_en,name_ja,country,country_code,abbreviation,gender,birthday,pro_year,handedness,weight,height,highest_singles_ranking,highest_doubles_ranking,sport_category_id,created_at,updated_at
sr:competitor:100069,,"サチコ,ヴィタリー",ウクライナ,UKR,SAC,0,1997-07-14,,0,,,156,149,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:100341,,"ボルクヴァッゼ,マリアム",ジョージア,GEO,BOL,1,1998-01-01,,1,,,151,204,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:101101,,"ティアフォー,フランセス",米国,USA,TIA,0,1998-01-20,2015,0,86,188,10,160,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:102151,,"タビロ,アレハンドロ",チリ,CHL,TAB,0,1997-06-02,2015,1,75,188,64,249,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:102191,,"アクス, アイラ",トルコ,TUR,AKS,1,1996-07-15,,0,,170,214,199,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:102339,,"ヴァン・デ・ザンドシュルプ,ボティク",オランダ,NLD,VAN,0,1995-10-04,,0,83,188,22,60,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:103313,,"ランモ,クリスティアン",米国,USA,LAN,0,1996-06-01,,0,,,333,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:103375,,"セルバン,ラルカ・ジョルジアーナ",キプロス,CYP,SER,1,1997-06-17,,0,,,152,176,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:103625,,"ジールツ,マイケル",ベルギー,BEL,GEE,0,1995-01-17,,0,,,212,162,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:103901,,"ルース,エレーナ・ガブリエラ",ルーマニア,ROU,RUS,1,1997-11-06,2007,0,,172,51,32,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:104847,,"ソネゴ,ロレンソ",イタリア,ITA,SON,0,1995-05-11,2013,0,76,191,21,60,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:104929,,"トーナ, マリアナ",イタリア,ITA,TON,1,1995-01-09,,0,,,340,358,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:104967,,"ブローワー,ジジス",オランダ,NLD,BRO,0,1996-03-14,,1,72,191,114,148,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:105099,,"ビレル,キンバリー",オーストラリア,AUS,BIR,1,1998-04-29,2014,0,62,170,100,171,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:105463,,"ボズコワ,マリー",チェコ,CZE,BOU,1,1998-07-21,2014,0,61,180,24,16,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:105607,,"チョインスキ,ジャン",グレートブリテン及び北アイルランド連合王国,GBR,CHO,0,1996-06-10,2016,0,80,196,126,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:106153,,"ダッラ・ヴァーレ,エンリコ",イタリア,ITA,DAL,0,1998-03-21,,0,90,193,284,299,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:106341,,"クヌツォン, ガブリエラ アンドレア",チェコ,CZE,KNU,1,1997-04-21,,0,,,155,270,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:106357,,"ゲルチ,ルーカス",ドイツ,DEU,GER,0,1994-12-20,,1,,,278,450,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:106755,,"ラブレフ,アンドレイ",Neutral,,RUB,0,1997-10-20,2014,0,70,188,5,44,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:107327,,"イン・アルボン,イレーナ",スイス,CHE,IN-,1,1999-03-06,,0,,,110,225,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:107357,,"グレニエル,ウーゴ",フランス,FRA,GRE,0,1996-03-23,,0,85,196,95,362,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:107625,,"ジャンヴィエール,マクシム",フランス,FRA,JAN,0,1996-10-18,2014,0,80,193,170,297,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:1084926,,"Moeller, Elmer",デンマーク,DNK,MOE,0,2003-07-09,,0,,,394,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:108559,,"タベルナー,カルロス",スペイン,ESP,TAB,0,1997-08-08,2015,0,78,183,85,337,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:108565,,"サパタ・ミラージェス,ベルナベ",スペイン,ESP,ZAP,0,1997-01-12,,0,83,183,37,404,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:108621,,"ケンペン,マガリ",ベルギー,BEL,KEM,1,1997-11-30,,0,,,191,158,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:108709,,"マイヒルザク,カミル",ポーランド,POL,MAJ,0,1996-01-13,2014,0,76,183,75,241,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:108767,,"ハサン,ベンジャミン",ドイツ,DEU,HAS,0,1995-02-04,,0,85,183,149,359,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:110055,,"ブロンゼッティ,ルシア",イタリア,ITA,BRO,1,1998-12-10,,0,,,47,375,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
